Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp
841,2.097121677,4.827057982,3.226556107,79.03348476,73.7462881
821,5.190569836,6.564384021,2.63520822,86.82211473,66.60288706
1683,2.367372652,11.1637892,3.207197653,76.70226769,78.67229387
1079,2.312188958,4.881784103,0.624696639,77.83055956,69.55262887
519,4.637964827,11.32221298,1.812411433,76.85932652,68.57943079
851,3.334591919,5.004853914,2.97050413,78.18562937,86.72045729
942,1.907204017,3.668157177,3.627724498,75.23485575,74.96633293
804,4.257403928,6.873748476,2.224280464,76.62484044,76.16357211
405,5.246058633,3.81997012,3.848701107,77.23983787,69.36014341
738,4.096593592,4.16391269,2.524019597,74.53867592,85.08645626
790,3.591114533,5.338654997,2.404603398,87.66834588,90.84711182
603,2.432359166,6.187721877,1.437540942,81.32816317,82.67797384
1097,5.255463691,3.807554485,2.82491635,77.34227909,82.86250328
714,3.793146855,8.922872566,1.673392809,74.06512112,80.07098711
943,2.691469911,5.748466303,2.812255782,76.92538547,82.38124641
517,3.791252233,9.300223919,1.330424105,81.4914578,71.00277294
509,5.182617928,7.334746528,6.712791666,76.87435428,72.60170504
762,1.723628121,11.553605,2.813555419,88.64324853,83.52186534
713,3.597686617,4.456874167,3.259372284,77.01706722,76.26298306
700,2.733019393,6.782435277,2.560958893,74.54091523,71.29475772
720,4.144420928,7.702085875,3.333893627,77.07757936,76.72033677
912,4.591005627,5.76587528,2.768435008,75.9443756,85.64137184
767,4.596903025,7.496561998,1.432776233,84.92414335,80.26551481
785,4.055982736,7.141314002,1.57939556,76.52076462,81.4053339
970,4.12904535,6.878477555,2.365519395,74.5556039,75.498148
1083,4.45696494,3.717267645,1.722561228,76.74960165,84.25273431
581,3.609292425,2.676624164,2.428149149,76.50239987,83.51458907
1185,2.807159459,4.08404979,1.234131927,75.34106996,70.58862793
684,3.976750422,6.059777093,2.86938637,75.6798524,75.69725241
857,2.893365229,8.012343704,2.621033242,75.40825093,81.0024882
578,2.985367624,5.398372111,3.192418855,75.15947869,75.89403725
734,4.32444457,3.428495564,1.666889046,74.21309654,67.48628208
715,3.075012992,10.51303983,2.945513341,76.56391992,77.02940841
562,2.463082563,6.881139774,2.248659484,78.04308625,72.26445907
877,2.878906916,4.829057585,1.463524103,75.72331176,83.61329669
685,3.601333877,3.817569306,1.856055359,88.93318756,75.90703695
574,4.753714222,6.820049655,1.397716739,76.47294852,86.00150539
1066,2.271010326,4.075766315,1.124068479,87.94654381,86.7443352
442,2.694786834,7.294617972,1.640980184,75.06717157,74.41278334
798,2.60275552,4.378715332,2.353641457,76.21618768,80.30637079
480,4.188631419,5.825464461,1.368934175,75.65625914,64.94495145
84,3.830491098,4.907142035,1.061623857,75.62668222,77.40797796
1670,3.77414112,9.071943275,1.513424235,77.45543415,92.73902578
612,2.641983094,4.999947057,1.969986406,75.97473609,81.35457455
1265,2.42331119,3.849420742,1.940051711,78.60567307,71.16879946
842,2.991860868,3.285393392,1.911922173,74.97790395,79.49493094
1004,2.677799512,5.284619939,1.139356029,75.65808209,70.0638128
577,2.558864489,8.00775006,1.84398741,74.72322415,80.44530188
719,2.412465876,6.235855011,1.514894792,75.79182261,90.42637678
1482,3.289898896,5.082570447,1.950200158,75.42679654,88.65889266
684,3.786217108,6.112776736,1.470425535,74.76493104,74.76418628
1134,2.789207278,6.125871389,0.06467347,77.98098705,77.1642189
669,2.453496973,10.83620617,1.101120679,78.88396503,76.9442174
1448,2.344479985,8.355442518,2.017874396,74.66247159,87.1203219
888,2.356320881,6.772133104,2.050609052,82.15743301,78.69276025
743,2.038107933,7.022097472,1.837014064,77.0611352,81.44829432
1003,2.625861809,6.907652225,0.881902439,76.3420433,82.8537014
589,2.512242297,4.676363629,2.066339619,76.46781778,79.27588636
591,2.139609263,8.212124976,1.494444905,84.82651568,89.31813015
751,4.334357717,5.301890872,1.503663627,81.6663611,78.4488699
515,3.212842822,7.412353385,2.290458358,76.63530594,69.99829051
829,2.520098956,4.850382175,2.11272357,74.72805698,77.64159076
1652,3.276245008,8.090186544,2.27821856,76.6395449,89.76042579
932,3.067649381,7.300653067,2.770631882,78.27853328,72.45354038
608,4.975467378,7.789730373,2.067665689,77.13085552,73.90755935
673,4.079282003,10.10060758,1.770596506,75.80543593,78.21382211
613,3.84715836,10.56191893,1.756019631,81.76462715,80.69865143
652,2.135404033,4.624039928,2.21176694,78.39222339,81.35782539
642,2.8719182,9.923557527,2.896841209,76.93507449,92.9328747
660,2.924774367,7.999973474,2.782399355,74.65880975,68.49531722
1260,4.636462548,3.028389456,2.630748358,78.54660623,69.76783302
675,2.785797256,5.463946609,1.649817197,75.3972787,82.90745278
